Code	Description	Information
0611	BERLIN	<country>GERMANY</country>
0612	NATIONAL	<country>GERMANY</country>
0613	SCHWABENLAND	<country>GERMANY</country>
0614	ANNE MARIE	<country>GERMANY</country><platformclass>36 Fishing vessel</platformclass><callsign>DLFG</callsign><commissioned>1976-02-01</commissioned><notes>Port of registry Maasholm Germany. Ship owner Jörg Detlefsen</notes>
061A	SEAPAC BUNKER HILL	<country>GERMANY</country>
061B	SEAPAC LEXINGTON	<country>GERMANY</country>
061C	SEAPAC PRINCETON	<country>GERMANY</country>
061D	SEAPAC CONCORD	<country>GERMANY</country>
061E	SEAPAC VALLEY FORGE	<country>GERMANY</country>
061F	CAP SAN MARCO	<country>GERMANY</country>
061G	ANNIEMARIE	<country>GERMANY</country><callsign>DGCS</callsign>
061H	CAP SAN AUGUSTIN	<country>GERMANY</country>
061I	SUNNA HAV	<country>GERMANY</country>
061J	SCHLESWIG HOLSTEIN	<country>GERMANY</country>
061K	BAYERN	<country>GERMANY</country>
061L	HESSEN	<country>GERMANY</country>
061M	LUETJENS	<country>GERMANY</country>
061N	MOELDERS	<country>GERMANY</country>
061P	ROMMEL	<country>GERMANY</country>
061Q	KOELN	<country>GERMANY</country>
061R	EMDEN	<country>GERMANY</country>
061S	AUGSBURG	<country>GERMANY</country>
061T	KARLSRUHE	<country>GERMANY</country>
061U	LUEBECK	<country>GERMANY</country>
061V	BRAUNSCHWEIG	<country>GERMANY</country>
061W	BREMEN	<country>GERMANY</country>
061X	NIEDERSACHSEN	<country>GERMANY</country>
061Y	GEORGE FOCH	<country>GERMANY</country>
061Z	SCHLESWIG	<country>GERMANY</country>
0621	ROUTE: HAMBURG - HULL	<country>GERMANY</country><notes>1954-1974</notes>
062A	PADERBORN	<country>GERMANY</country>
062B	DUERN	<country>GERMANY</country>
062C	KONSTANZ	<country>GERMANY</country>
062D	WOLFSBURG	<country>GERMANY</country>
062E	ULM	<country>GERMANY</country>
062F	FULDA	<country>GERMANY</country>
062G	LINDAU	<country>GERMANY</country>
062H	TUEBINGEN	<country>GERMANY</country>
062I	MINDEN	<country>GERMANY</country>
062J	KOBLENZ	<country>GERMANY</country>
062K	WETZLAR	<country>GERMANY</country>
062L	WEILHEIM	<country>GERMANY</country>
062M	VOELKLINGEN	<country>GERMANY</country>
062N	CUXHAVEN	<country>GERMANY</country>
062P	MARBURG	<country>GERMANY</country>
062Q	NAJADE	<country>GERMANY</country>
062R	DONAU	<country>GERMANY</country>
062S	LAHN	<country>GERMANY</country>
062T	WERRA	<country>GERMANY</country>
062U	FEHMARN	<country>GERMANY</country>
062V	EISBAER	<country>GERMANY</country>
062W	SPIEKEROOG	<country>GERMANY</country>
062X	WALTHER VON LEDEBUR	<country>GERMANY</country>
062Y	RECTEUR DUBUISSON	<country>GERMANY</country>
062Z	THETIS	<country>GERMANY</country>
063A	HERMES	<country>GERMANY</country>
063B	PORT HARCOURT	<country>GERMANY</country>
063C	CARIBIA EXPRESS	<country>GERMANY</country>
063D	SIERRA EXPRESS	<country>GERMANY</country><callsign>SWYU</callsign>
063E	COLUMBUS	<country>GERMANY</country><notes>CIRCA 1920'S and 30'S.</notes>
063F	EUROPA	<country>GERMANY</country><notes>CIRCA 1930'S</notes>
063G	FORELLE	<country>GERMANY</country><notes>CIRCA 1930'S</notes>
063H	GEESTE	<country>GERMANY</country><notes>CIRCA 1930'S</notes>
063J	HECHT	<country>GERMANY</country><notes>CIRCA 1930'S</notes>
063K	ISLAND	<country>GERMANY</country><notes>CIRCA 1950'S</notes>
063L	RESERVE-HOENAU	<country>GERMANY</country><notes>CIRCA 1930'S</notes>
063M	SASSNITZ-TRELLEBORG	<country>GERMANY</country><notes>CIRCA 1930'S</notes>
063N	SCHELLFISCH	<country>GERMANY</country><notes>CIRCA 1960'S</notes>
063P	SDFALL	<country>GERMANY</country><notes>CIRCA 1950'S</notes>
063Q	TEREDO VERSUCHSSTAND	<country>GERMANY</country><notes>COASTAL STATION</notes>
063R	THUNFISCH	<country>GERMANY</country><platformclass>36 Fishing vessel</platformclass><notes>TRAWLER</notes>
067A	MAERSK DAMASCUS	<IMO>9227338</IMO><country>GERMANY</country><platformclass>32 Vessel of opportunity</platformclass><callsign>DAWC</callsign><commissioned>2002</commissioned><notes>Container carrier</notes><previous_name>P&O NEDLLOYD PALLISER</previous_name>
067B	MAERSK DENTON	<IMO>9244881</IMO><country>GERMANY</country><platformclass>32 Vessel of opportunity</platformclass><callsign>DNIC</callsign><commissioned>2002</commissioned><notes>Container carrier</notes><previous_name>NEDLLOYD MAIRANGI</previous_name>
067F	FIXED PLATFORMS	<country>GERMANY</country>
0690	MULTIPLE SHIPS	<country>GERMANY</country>
0699	UNKNOWN PLATFORMS	<country>GERMANY</country>
06A2	ARIANA	<country>GERMANY</country><callsign>DIDA</callsign>
06A3	ATAIR	<country>GERMANY</country><platformclass>31 Research vessel</platformclass><notes>Multiple hulls</notes>
06A4	ALLIANCE	<country>GERMANY</country><callsign>DRMX</callsign><notes>NATO SHIP SACLANT ITALY</notes>
06A5	Alkor	<title>FS</title><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBIG</callsign><commissioned>1966-02-03</commissioned><decommissioned>1990-04-19</decommissioned>
06A6	Alkor	<title>RV</title><IMO>8905880</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBND</callsign><commissioned>1990-05-02</commissioned><notes>IFM-GEOMAR research vessel active as of 2007-08.</notes>
06A7	Atair	<title>FS</title><IMO>8521426</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBBI</callsign><commissioned>1987-07-13</commissioned><notes>In service August 2007.</notes>
06A8	Atair	<title>FS</title><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBBA</callsign><commissioned>1962-05-04</commissioned><decommissioned>1987-04-29</decommissioned>
06AA	ALEMANIA	<country>GERMANY</country>
06AB	ALSTER EXPRESS	<country>GERMANY</country>
06AC	WEGA	<IMO>8901054</IMO><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBBC</callsign><commissioned>1990-10-26</commissioned>
06AD	ANTON DOHRN I	<title>FFS</title><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBFO</callsign><commissioned>1955-03-03</commissioned><decommissioned>1972-07-26</decommissioned><notes>999 BRT. Renamed Meerkatze II since december 1972 as fishery protection ship</notes>
06AE	AADE	<title>MB</title><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBJG</callsign><commissioned>1974-06-15</commissioned><notes>Small cutter of the Biologische Anstalt Helgoland (8.60 tons). Port of Registry Helgoland</notes>
06AF	A FREYMANN	<country>GERMANY</country>
06AG	AVON	<country>GERMANY</country>
06AH	A. LEONHARDT	<country>GERMANY</country>
06AI	MEERKATZE II	<title>FSB</title><country>GERMANY</country><platformclass>31 Research vessel</platformclass><callsign>DBFO</callsign><commissioned>1972-11-01</commissioned><decommissioned>1977-12-31</decommissioned><notes>Fishery Protection Vessel</notes><previous_name>Anton Dohrn I</previous_name>
06AJ	AUSSENJADE	<country>GERMANY</country>
06AK	ALKOR	<title>FS</title><country>GERMANY</country><platformclass>31 Research vessel</platformclass><notes>Multiple hulls</notes>
